code,price,open,high,low,volume,amount,bid_vol,ask_vol,turnover,updated_at
002539,11.9400,12.0800,12.3200,11.9000,179346,217387920.00,90047,89300,1.4850,2026-06-06 12:02:19.577001+00:00
002540,5.3400,5.3100,5.4200,5.2600,109962,58879752.00,59799,50164,0.8789,2026-06-06 12:02:19.577001+00:00
002541,18.4100,19.4500,19.7600,18.2400,110959,209127184.00,47197,63762,1.6081,2026-06-06 12:02:19.577001+00:00
002542,1.6100,1.5900,1.6300,1.5800,258061,41425076.00,130904,127157,0.0000,2026-06-06 12:02:19.577001+00:00
002543,7.3300,7.2500,7.4300,7.2200,31718,23262762.00,18268,13450,0.4265,2026-06-06 12:02:19.577001+00:00
002544,20.8000,20.3600,21.5000,20.1300,185990,388038528.00,102290,83700,2.7330,2026-06-06 12:02:19.577001+00:00
002545,20.7400,20.5300,21.4500,20.3300,187924,392726496.00,110010,77915,1.5106,2026-06-06 12:02:19.577001+00:00
002546,7.1400,7.1200,7.2600,7.0000,155438,110965184.00,78107,77331,1.8637,2026-06-06 12:02:19.577001+00:00
002547,3.5400,3.4800,3.6100,3.4300,362487,128287688.00,179104,183383,0.0000,2026-06-06 12:02:19.577001+00:00
002548,3.9900,3.9600,4.0700,3.9500,219215,87816136.00,116945,102271,2.6470,2026-06-06 12:02:19.577001+00:00
002549,15.9900,16.4400,16.4400,15.8300,253783,407352960.00,105956,147827,3.6497,2026-06-06 12:02:19.577001+00:00
002550,6.0600,6.0300,6.1200,6.0100,106891,64834984.00,58943,47949,0.8352,2026-06-06 12:02:19.577001+00:00
002552,58.3200,58.0000,61.5800,57.3500,208345,1232833664.00,103455,104890,0.0000,2026-06-06 12:02:19.577001+00:00
002553,18.4000,17.8300,18.7300,17.4300,116703,211905680.00,68114,48590,3.3022,2026-06-06 12:02:19.577001+00:00
002554,3.1000,3.0900,3.1400,3.0300,222522,68756048.00,109390,113132,1.6684,2026-06-06 12:02:19.577001+00:00
002555,19.5000,19.0100,19.8000,19.0100,439203,860413504.00,252036,187168,1.9853,2026-06-06 12:02:19.577001+00:00
002556,5.1600,5.1000,5.2000,5.0900,69863,35949872.00,37571,32292,0.7381,2026-06-06 12:02:19.577001+00:00
002557,21.2600,21.1800,21.6300,21.1700,56546,120932920.00,28877,27669,1.1178,2026-06-06 12:02:19.577001+00:00
