id,pick_date,stock_code,rank,score,signal_tags,risk_level,suggestion
607,2026-05-29,002082,15,-4.98,,,
642,2026-05-29,603931,16,-1.82,,,
610,2026-05-29,002832,17,-1.97,,,
623,2026-05-29,301349,18,-2.05,,,
602,2026-05-29,000610,20,-0.39,,,
619,2026-05-29,300775,21,-0.58,,,
609,2026-05-29,002384,22,6.19,,,
626,2026-05-29,600023,23,0.47,,,
616,2026-05-29,300551,24,-0.87,,,
633,2026-05-29,600995,25,4.62,,,
622,2026-05-29,301189,27,-5.81,,,
636,2026-05-29,601916,28,-0.33,,,
631,2026-05-29,600736,30,1.70,,,
637,2026-05-29,603165,31,-2.26,,,
624,2026-05-29,301373,33,-7.09,,,
612,2026-05-29,300317,34,-0.35,,,
629,2026-05-29,600714,36,3.15,,,
638,2026-05-29,603256,37,-0.72,,,
608,2026-05-29,002278,38,0.90,,,
625,2026-05-29,301439,40,3.42,,,
640,2026-05-29,603313,41,-2.66,,,
628,2026-05-29,600187,44,4.76,,,
605,2026-05-29,001389,45,-1.94,,,
603,2026-05-29,000735,48,-0.92,,,
618,2026-05-29,300723,49,1.89,,,
634,2026-05-29,601868,50,-0.35,,,
525,2026-05-08,600545,3,-1.37,,,
563,2026-06-03,300394,5,8.84,,,
557,2026-06-03,002645,6,8.86,,,
558,2026-06-03,002887,10,0.89,,,
569,2026-06-03,300680,11,-1.89,,,
583,2026-06-03,600699,12,2.20,,,
573,2026-06-03,300775,13,-0.58,,,
590,2026-06-03,603986,15,3.70,,,
559,2026-06-03,002951,19,5.62,,,
587,2026-06-03,601089,24,-1.48,,,
556,2026-06-03,002384,31,6.19,,,
552,2026-06-03,000058,37,1.40,,,
576,2026-06-03,301071,43,5.53,,,
554,2026-06-03,000809,45,-2.18,,,
570,2026-06-03,300715,46,5.29,,,
597,2026-06-03,688371,49,6.27,,,
606,2026-05-29,001896,3,10.03,,,
452,2026-05-14,001259,3,10.00,,,
463,2026-05-14,002837,4,1.23,,,
466,2026-05-14,300179,5,7.52,,,
489,2026-05-14,688019,6,1.76,,,
454,2026-05-14,002432,8,1.18,,,
494,2026-05-14,688368,16,-1.82,,,
490,2026-05-14,688167,29,8.23,,,
450,2026-05-07,688766,2,0.53,,,
502,2026-05-08,000711,5,2.27,,,
