code,trade_date,pe,pb,ps,total_market_cap,circulating_market_cap
000786,2026-06-05,4.6500,1.3400,,37347059896.88,
000788,2026-06-05,11.4400,2.0700,,3087214642.97,
000506,2026-06-06,7.0400,14.8400,,13192051828.13,
000790,2026-06-05,98.8300,3.3200,,2388845355.86,
000791,2026-06-05,6.1300,1.9200,,29843325125.00,
000507,2026-06-06,6.9100,0.7900,,4709042800.00,
000795,2026-06-05,15.0400,3.8400,,10429893375.00,
000796,2026-06-05,259.8000,8.0200,,7281201634.38,
600307,2026-06-06,0.0000,1.8800,,10021372000.00,
600310,2026-06-06,0.0000,3.0500,,8295923021.88,
000799,2026-06-05,43.5900,3.8400,,14462589963.87,
000800,2026-06-05,30.2800,1.1400,,30069026528.13,
000801,2026-06-05,85.3100,4.0600,,12643080084.38,
000513,2026-06-06,4.7200,1.8800,,27223234368.75,
000803,2026-06-05,7.9600,2.3400,,3483232695.70,
000807,2026-06-05,2.6600,2.6900,,95854345300.00,
000810,2026-06-05,15.4000,1.9400,,12767169703.13,
000811,2026-06-05,26.2800,4.7200,,30806516150.00,
000812,2026-06-05,29.0500,1.8900,,2768172089.06,
000514,2026-06-06,11.4700,1.0100,,3704154415.62,
000815,2026-06-05,49.1400,7.7500,,10908675979.69,
600319,2026-06-06,0.0000,8.4000,,2838032910.94,
000818,2026-06-05,55.9500,4.1400,,9042000000.00,
000819,2026-06-05,190.4000,2.5600,,5331949822.27,
600326,2026-06-06,0.0000,2.6300,,10313855318.75,
600328,2026-06-06,0.0000,0.8300,,9868263145.31,
000823,2026-06-05,30.1300,1.9700,,9941850696.09,
000825,2026-06-05,108.6800,0.6700,,21930552875.00,
000828,2026-06-05,3.6400,0.9900,,10343194460.94,
000519,2026-06-06,49.1000,2.5800,,26820684534.38,
000830,2026-06-05,5.4300,1.2300,,23784945090.63,
000831,2026-06-05,41.6100,11.6500,,57645512837.50,
000833,2026-06-05,8.0100,4.1600,,17268829496.88,
000837,2026-06-05,50.6800,2.5000,,12298214168.75,
000520,2026-06-06,141.0000,11.0600,,4655583812.50,
000848,2026-06-05,3.2600,2.1800,,8088600619.53,
000521,2026-06-06,8.4200,0.9700,,5911762773.44,
000523,2026-06-06,11.8700,2.8700,,5634888103.13,
600683,2026-06-05,0.0000,0.0000,,537485568.00,0.00
000524,2026-06-06,18.7000,2.6600,,6145812804.69,
000525,2026-06-06,184.8300,2.3800,,5916339660.94,
000860,2026-06-05,6.9000,1.1600,,7981413256.25,
000862,2026-06-05,11.1700,1.4300,,6196194140.63,
000868,2026-06-05,191.9000,4.4300,,3551365814.06,
000869,2026-06-05,7.9000,1.1200,,11738310585.94,
000875,2026-06-05,8.4700,1.3200,,23214532000.00,
000526,2026-06-06,3.6700,3.2000,,3328026737.01,
000878,2026-06-05,6.2200,2.2800,,42004187962.50,
000880,2026-06-05,22.8500,5.7800,,12477532425.78,
000528,2026-06-06,2.8700,0.9100,,17375291457.81,
600330,2026-06-06,0.0000,4.6800,,36287643909.38,
