id,code,report_date,report_type,total_revenue,net_profit,revenue_growth,profit_growth,total_assets,total_liabilities,net_assets,roe,eps,bps,gross_margin,net_margin,debt_ratio,created_at
171,000725,2024-09-30,三季报,143731526962.00,3309765650.00,,,417412481177.00,215969304305.00,132019192350.00,2.5100,0.0900,0.0000,15.1800,2.3000,51.7400,2026-06-06 05:37:17.545384+00:00
172,000725,2024-06-30,中报,93386241632.00,2284051354.00,,,422367862387.00,221844829545.00,130834067578.00,1.7500,0.0600,0.0000,14.9500,2.4500,52.5200,2026-06-06 05:37:17.545384+00:00
157,000001,2026-03-31,一季报,35277000000.00,14523000000.00,,,6033962000000.00,5489879000000.00,544083000000.00,2.6700,0.6700,0.0000,0.0000,41.1700,90.9800,2026-06-06 04:14:53.607898+00:00
158,000001,2025-12-31,年报,131442000000.00,42633000000.00,,,5925777000000.00,5374593000000.00,551184000000.00,7.7300,2.0700,0.0000,0.0000,32.4300,90.7000,2026-06-06 04:14:53.607898+00:00
159,000001,2025-09-30,三季报,100668000000.00,38339000000.00,,,5766764000000.00,5248834000000.00,517930000000.00,7.4000,1.8700,0.0000,0.0000,38.0800,91.0200,2026-06-06 04:14:53.607898+00:00
160,000001,2025-06-30,中报,69385000000.00,24870000000.00,,,5874961000000.00,5364899000000.00,510062000000.00,4.8800,1.1800,0.0000,0.0000,35.8400,91.3200,2026-06-06 04:14:53.607898+00:00
173,001896,2026-03-31,一季报,2578618186.95,29279321.96,,,33411236089.86,29098038664.77,3563214627.46,0.8200,0.0192,0.0000,8.9200,1.1400,87.0900,2026-06-06 06:00:07.544581+00:00
174,001896,2025-12-31,年报,11229867766.83,390358869.42,,,32147112791.66,27904718864.33,3508939394.15,11.1200,0.2558,0.0000,13.6900,3.4800,86.8000,2026-06-06 06:00:07.544581+00:00
175,001896,2025-09-30,三季报,8665823807.77,287732336.32,,,31802170957.24,27916476162.92,3447832658.42,8.3500,0.1886,0.0000,13.4000,3.3200,87.7800,2026-06-06 06:00:07.544581+00:00
176,001896,2025-06-30,中报,5283645072.69,103204842.65,,,31224585605.36,27584928322.11,3242219501.68,3.1800,0.0676,0.0000,11.8700,1.9500,88.3400,2026-06-06 06:00:07.544581+00:00
177,001896,2025-03-31,一季报,3033864955.16,44289115.97,,,31435580761.24,27884073155.70,3171444646.29,1.4000,0.0290,0.0000,10.0000,1.4600,88.7000,2026-06-06 06:00:07.544581+00:00
178,001896,2024-12-31,年报,12155484842.59,-121404740.96,,,31617199491.18,28144780096.26,3106761059.26,-3.9100,-0.0796,0.0000,7.1200,-1.0000,89.0200,2026-06-06 06:00:07.544581+00:00
179,001896,2024-09-30,三季报,9389475892.28,-89323476.92,,,31484708818.08,27983402323.82,3142860173.10,-2.8400,-0.0585,0.0000,7.4800,-0.9500,88.8800,2026-06-06 06:00:07.544581+00:00
180,001896,2024-06-30,中报,6136775967.50,-42875231.54,,,32064715417.47,28516933197.64,3187624436.24,-1.3500,-0.0281,0.0000,7.7400,-0.7000,88.9400,2026-06-06 06:00:07.544581+00:00
